Stats
Health,300
Mana,155
Level,6
Exp,70
Strength,12
Agility,15
Intelligence,30
Defense,25
Dexterity,16

Equipped Gear
HELMET,Iron Casque
CHESTPLATE,Enchanted Chestplate
LEGGINGS,Roughspun Trousers
BOOTS,Lightweight Boots
WEAPON,Wooden Club
RING,Copper Band
NECKLACE,Jade Pendant
BRACELET,Stiff Gloves

Inventory
Stick
Lightweight Boots
Enchanted Cloak
Copper Band
Enchanted Chestplate
Wooden Club
Jade Pendant
Roughspun Trousers
Stiff Gloves
Torn Boots
Enchanted Cloak
Tattered Cloak
Old Necklace
Arcane Ring
Worn Hat
Iron Casque
Mystical Necklace
